ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,CONTINEN_1,REGION_1,prec_2000,prec_2005,prec_2020,prec_2007,prec_2019,prec_2010,prec_2002,prec_2017,prec_2004,prec_2001,prec_2022,prec_2008,prec_2021,prec_2014,prec_2018,prec_2013,prec_2016,prec_2024,prec_2023,prec_2006,prec_2012,prec_2009,prec_2003,prec_2011,prec_2015
124.0,Administrative unit not available,102.0,Abyei,Africa,Eastern Africa,789.3222947761194,730.9339085820895,686.5131996268657,828.7464552238806,858.7603544776119,801.1110074626865,814.3285447761194,813.6432835820896,593.5096082089552,787.0699626865671,750.452145522388,648.408302238806,746.8118003731344,869.644869402985,806.7167910447761,820.6666977611941,750.5119402985075,764.8236940298508,768.6049906716418,758.244776119403,794.9761194029851,670.7909514925373,802.8746268656716,857.0701492537313,748.2060634328358
341.0,Adrar,4.0,Algeria,Africa,Northern Africa,28.26988599742185,32.155434257170484,30.55407267160812,27.84698678698034,32.616546487270384,35.18609410248147,31.37849863035772,37.0727360618756,34.19944005800838,29.160300515630034,29.257853287141476,39.580059619722846,30.54520625201418,31.818866822429907,48.580937802126975,33.76419191105382,33.608034563325816,32.43815259426361,28.937423461166613,34.93487350950693,36.90630841121495,35.9332661940058,31.319513374154045,29.943421688688368,36.28833387044796
342.0,Ain-Defla,4.0,Algeria,Africa,Northern Africa,410.30176854395603,456.44308035714283,448.8162774725275,646.9839886675824,511.1372767857143,635.5596668956044,427.2489268543956,555.4376717032967,527.7095209478022,444.3622081043956,478.6795157967033,597.6303228021978,450.11246565934067,672.1808894230769,733.6802884615385,707.9653588598901,617.4153502747253,420.0458447802198,435.62491414835165,572.9039320054945,587.3004807692307,646.8349072802198,636.1785714285714,706.1963856456044,437.05103880494505
343.0,Ain-Temouchent,4.0,Algeria,Africa,Northern Africa,327.03708881578945,341.04817023026317,263.2866365131579,474.5200657894737,320.4731907894737,480.90542763157896,290.3656661184211,328.3857113486842,415.9666529605263,403.3231907894737,300.06541940789475,464.34309210526317,287.4774876644737,436.2013980263158,453.25427631578947,452.9163240131579,363.3238898026316,218.962109375,282.08511513157896,380.96698190789476,434.5958470394737,377.0881167763158,461.5932154605263,418.8499177631579,292.21591282894735
344.0,Alger,4.0,Algeria,Africa,Northern Africa,443.5460668103448,520.0635775862069,539.971646012931,824.2532327586207,588.7636045258621,768.6899919181035,543.9352101293103,644.2093884698276,609.4874057112069,534.8448949353449,505.94534617456895,708.4290140086207,590.1115301724138,735.7463631465517,821.0914601293103,828.3673895474138,692.4266567887931,482.04067887931035,564.9239291487069,604.8058997844828,604.5371767241379,741.8722386853449,773.3612607758621,808.1136179956897,525.659146012931
345.0,Annaba,4.0,Algeria,Africa,Northern Africa,582.3225497159091,764.2705965909091,727.1497159090909,812.7424715909091,1002.8058948863636,839.3889914772727,747.2790482954546,683.5127840909091,884.1908380681818,690.0166903409091,545.1071732954546,633.8954545454545,647.7629971590909,853.6443181818182,776.9253551136363,897.3309659090909,649.1183238636364,625.0641335227273,794.3542613636364,783.9740056818182,747.3100852272727,1070.3805397727272,1013.3113636363636,824.5883522727273,881.1519886363636
346.0,Batna,4.0,Algeria,Africa,Northern Africa,270.47475961538464,240.304183991684,236.33173076923077,311.8584004677755,314.4383121101871,316.7568542099792,253.77200818607068,203.16203222453223,410.5987525987526,262.1349889553015,222.51741164241164,309.6572895010395,234.53157484407484,263.4547492203742,313.1991294178794,307.86993243243245,252.3443347193347,219.53784433471932,235.30213747401248,346.81136304573806,253.83350116943868,345.70260524948026,423.39981808731807,351.31867203742206,285.05704261954264
347.0,Bechar,4.0,Algeria,Africa,Northern Africa,102.86458333333333,107.98711704961705,106.43793706293707,110.84005577755578,110.76694139194139,118.58966033966034,105.61850649350649,106.15084915084915,117.41153638028638,95.10036838161838,103.48857392607393,183.5927405927406,119.50921994671995,139.3728042790543,139.58969155844156,111.4936938061938,132.80468489843489,134.36409423909424,106.05616258741259,156.756327006327,188.71466033966033,160.61230436230437,115.86576964701965,126.10366716616717,124.42130785880786
348.0,Bejaia,4.0,Algeria,Africa,Northern Africa,505.98554104477614,679.4822178171642,565.1510027985074,787.4089902052239,694.5767257462686,724.1731576492538,697.7712220149253,582.0409864738806,772.076026119403,591.1248833955224,561.8997784514926,693.6843516791045,617.8382695895523,706.8280083955224,718.1194029850747,844.2499416977612,665.9112639925373,528.0587103544776,595.1967117537314,646.794193097015,670.7118120335821,898.7091884328358,907.0406949626865,800.5577192164179,618.4344682835821
349.0,Biskra,4.0,Algeria,Africa,Northern Africa,131.00674926035504,132.04558062130178,130.60271819526628,177.36849112426034,163.5359097633136,187.23581730769232,130.16434911242604,146.41735392011833,208.6918823964497,151.1396727071006,134.67609097633135,174.433025147929,146.09965791420117,145.70111871301776,172.64846523668638,183.1994452662722,150.11409948224852,139.19733727810652,114.50036057692307,201.42241124260354,150.53463387573964,225.35754437869824,224.4215976331361,195.66878698224852,158.38822115384616
350.0,Blida,4.0,Algeria,Africa,Northern Africa,517.7591145833334,573.5247395833334,594.9764322916667,861.3247395833333,665.3283854166667,828.355859375,583.7107421875,721.5701171875,661.9385416666667,574.3286458333333,573.4391927083333,729.6883463541667,588.0656901041667,804.3981770833333,878.8219401041666,912.344140625,766.9494791666667,534.393359375,603.5350260416667,683.6450520833333,678.5186197916667,806.6239583333333,831.2618489583333,916.837109375,579.6296223958333
